"Execution Time (UTC)","Execution Time (Local)","Technique","Test Number","Test Name","Hostname","IP Address","Username","GUID","ProcessId","ExitCode"
"2025-04-21T05:33:55Z","2025-04-21T08:33:55Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","12832","0"
"2025-04-21T05:34:25Z","2025-04-21T08:34:25Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","14456","0"
"2025-04-21T05:34:52Z","2025-04-21T08:34:52Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","3376","0"
"2025-04-21T05:35:32Z","2025-04-21T08:35:32Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","7048","0"
"2025-04-21T05:36:08Z","2025-04-21T08:36:08Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","1128","0"
"2025-04-21T05:36:46Z","2025-04-21T08:36:46Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","13964","0"
"2025-04-21T05:37:21Z","2025-04-21T08:37:21Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","14220","0"
"2025-04-21T05:37:50Z","2025-04-21T08:37:50Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","7708","0"
"2025-04-21T05:38:23Z","2025-04-21T08:38:23Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","3304","0"
"2025-04-21T05:39:06Z","2025-04-21T08:39:06Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","8292","0"
"2025-04-21T05:39:49Z","2025-04-21T08:39:49Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","11248","0"
"2025-04-21T05:40:28Z","2025-04-21T08:40:28Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","1744","0"
"2025-04-21T05:41:09Z","2025-04-21T08:41:09Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","4520","0"
"2025-04-21T05:41:43Z","2025-04-21T08:41:43Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","13260","0"
"2025-04-21T05:42:19Z","2025-04-21T08:42:19Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","12316","0"
"2025-04-21T05:42:59Z","2025-04-21T08:42:59Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","6292","0"
"2025-04-21T05:43:37Z","2025-04-21T08:43:37Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","15316","0"
"2025-04-21T05:44:10Z","2025-04-21T08:44:10Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","9060","0"
"2025-04-21T05:44:41Z","2025-04-21T08:44:41Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","10528","0"
"2025-04-21T05:45:12Z","2025-04-21T08:45:12Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","16048","0"
"2025-04-21T05:45:44Z","2025-04-21T08:45:44Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","2544","0"
"2025-04-21T05:46:10Z","2025-04-21T08:46:10Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","2628","0"
"2025-04-21T05:46:37Z","2025-04-21T08:46:37Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","6524","0"
"2025-04-21T05:47:06Z","2025-04-21T08:47:06Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","15412","0"
"2025-04-21T05:47:43Z","2025-04-21T08:47:43Z","T1053.005","5","Task Scheduler via VBA","sysmon-loggen","System.Object[]","sysmon-loggen\vboxuser","ecd3fa21-7792-41a2-8726-2c5c673414d3","9356","0"
